country,region,reserves_US,Btu_energy,kW_electricity,%_PBI_education,reserves_level,energy_level,electricity_level,education_level
vietnam,east and southeast asia,92238000000,40263000,85725000,4.1,Muy alto,Medio,Muy alto,Medio
turkey (turkiye),middle east,90859000000,70521000,106281000,3.4,Muy alto,Alto,Muy alto,Bajo
iraq,middle east,87048000000,64311000,31339000,4.7,Muy alto,Alto,Alto,Medio
italy,europe,84875000000,96797000,128692000,4.3,Muy alto,Alto,Muy alto,Medio
spain,europe,84154000000,101120000,130366000,4.6,Muy alto,Alto,Muy alto,Medio
norway,europe,81242000000,206961000,41100000,5.9,Muy alto,Muy alto,Muy alto,Alto
france,europe,78429000000,123526000,151463000,5.5,Muy alto,Muy alto,Muy alto,Alto
peru,south america,76338000000,30923000,16164000,4.0,Muy alto,Medio,Alto,Medio
algeria,africa,68448000000,61843000,22591000,7.0,Muy alto,Medio,Alto,Muy alto
romania,europe,64699000000,59377000,19748000,3.7,Muy alto,Medio,Alto,Bajo
colombia,south america,61506000000,29305000,21053000,4.9,Alto,Bajo,Alto,Medio
south africa,africa,54912000000,86197000,65989000,6.6,Alto,Alto,Muy alto,Muy alto
australia,australia and oceania,54455000000,223158000,108193000,6.1,Alto,Muy alto,Muy alto,Muy alto
sweden,europe,52023000000,142102000,55307000,7.2,Alto,Muy alto,Muy alto,Muy alto
qatar,middle east,44692000000,814308000,11400000,3.2,Alto,Muy alto,Alto,Bajo
chile,south america,44382000000,71420000,39238000,5.6,Alto,Alto,Muy alto,Alto
kuwait,middle east,44104000000,389848000,20294000,6.6,Alto,Muy alto,Alto,Muy alto
ukraine,europe,41485000000,57856000,60297000,5.4,Alto,Medio,Muy alto,Alto
bulgaria,europe,40270000000,102171000,12939000,4.0,Alto,Alto,Alto,Medio
nigeria,africa,38612000000,7993000,4094000,0.5,Alto,Muy bajo,Medio,Muy bajo
hungary,europe,37194000000,96152000,14829000,4.8,Alto,Alto,Alto,Medio
morocco,africa,35269000000,23520000,14615000,6.8,Alto,Bajo,Alto,Muy alto
egypt,africa,34278000000,34975000,59680000,2.5,Alto,Medio,Muy alto,Muy bajo
macau,east and southeast asia,29392000000,64641000,427000,6.3,Alto,Alto,Bajo,Muy alto
netherlands,europe,27753000000,185536000,59982000,5.3,Alto,Muy alto,Muy alto,Alto
serbia,europe,26445000000,91884000,8202000,3.6,Alto,Alto,Alto,Bajo
turkmenistan,central asia,24910000000,261142000,6512000,3.1,Alto,Muy alto,Medio,Muy bajo
argentina,south america,24381000000,78496000,47631000,5.0,Alto,Alto,Muy alto,Alto
guatemala,central america and the caribbean,23834000000,17096000,4995000,3.1,Alto,Bajo,Medio,Muy bajo
belgium,europe,22374000000,190416000,28248000,6.7,Alto,Muy alto,Alto,Muy alto
new zealand,australia and oceania,22065000000,121647000,10643000,6.0,Alto,Muy alto,Alto,Muy alto
kazakhstan,central asia,21980000000,172936000,27624000,4.5,Alto,Muy alto,Alto,Medio
bangladesh,south asia,20225000000,11472000,22699000,2.1,Alto,Bajo,Alto,Muy bajo
cambodia,east and southeast asia,18608000000,15664000,3673000,3.1,Alto,Bajo,Medio,Muy bajo
uruguay,south america,17369000000,45755000,5682000,4.6,Alto,Medio,Medio,Medio
